firm,year,pat_any,lgspilltec1,lgspillsic1,lgmalspilltec1,lgmalspillsic1,lgrd1,lsales1,lgrd1_dum
15,1988,1,9.167647,4.723939,11.18234,6.663457,3.70568,6.421622,0
15,1989,1,9.226886,4.740307,11.23467,6.680061,3.612792,6.470799,0
15,1990,1,9.283012,4.731688,11.28762,6.694683,3.523733,6.363028,0
15,1991,1,9.332316,4.700055,11.33419,6.701687,3.438363,6.335054,0
15,1992,1,9.372996,4.616331,11.37535,6.689473,3.356763,6.133398,0
15,1993,1,9.40794,4.518553,11.41302,6.676865,3.279757,6.214608,0
15,1994,1,9.434011,4.399413,11.44337,6.654547,3.207227,6.356108,0
15,1995,1,9.454334,4.271803,11.47,6.626869,3.139274,6.539586,0
15,1996,0,9.494876,4.149151,11.51672,6.612023,3.121577,6.717805,0
15,1997,1,9.513616,4.103026,11.54979,6.626001,3.10368,6.768493,0
15,1998,0,9.549094,4.097414,11.59488,6.65387,3.085597,6.829794,0
15,1999,0,9.589418,4.125405,11.64242,6.694554,3.0683,6.869014,0
15,2000,0,9.620078,4.223397,11.67676,6.732472,3.051412,6.880384,0
15,2001,0,9.63886,4.123074,11.70121,6.751208,3.078031,6.866933,0
16,1991,0,10.33692,9.251406,11.74116,10.15543,-1,1.609438,1
16,1992,0,10.30953,9.238409,11.71137,10.13569,-1,2.302585,1
17,1982,0,9.752514,9.659944,11.05097,10.15085,-1,2.564949,1
17,1983,0,9.763706,9.666168,11.06455,10.159,.4116845,3.178054,0
17,1984,1,9.778686,9.69491,11.07944,10.18709,1.006076,3.218876,0
17,1985,1,9.834342,9.743256,11.13488,10.23456,1.633999,2.995732,0
17,1986,0,9.890136,9.804745,11.18837,10.29411,2.131407,3.332205,0
17,1987,1,9.952636,9.870766,11.24944,10.36015,2.411081,3.091043,0
17,1988,0,10.0089,9.928929,11.30312,10.41706,2.489247,3.367296,0
17,1989,0,10.06442,9.990384,11.35774,10.47567,2.544568,3.583519,0
17,1990,0,10.1179,10.05242,11.41238,10.53424,2.582399,3.988984,0
17,1991,1,10.1633,10.10994,11.45795,10.58658,2.688677,4.094345,0
17,1992,0,10.20736,10.16301,11.50118,10.63605,2.76325,3.496508,0
17,1993,0,10.24558,10.21138,11.5395,10.68065,2.817799,3.951244,0
17,1994,0,10.27943,10.25892,11.57204,10.72172,2.85755,4.025352,0
17,1995,1,10.31781,10.32221,11.60363,10.77476,2.942983,4.317488,0
17,1996,0,10.38599,10.42452,11.66586,10.86693,3.146823,4.919981,0
17,1997,0,10.42889,10.51597,11.70313,10.94831,3.359428,5.003946,0
17,1998,0,10.48206,10.60251,11.7532,11.02776,3.41254,4.882802,0
17,1999,0,10.53276,10.68065,11.80517,11.1004,3.483502,5.02388,0
17,2000,0,10.56717,10.73899,11.84055,11.15252,3.591391,5.141664,0
17,2001,0,10.59731,10.80953,11.8728,11.21175,3.824517,5.638355,0
18,1989,0,7.714767,6.175451,10.20363,8.472928,-1,6.598509,1
18,1990,0,7.695692,6.155304,10.18644,8.455126,-1,6.787845,1
18,1991,0,7.677639,6.134086,10.17201,8.441619,-1,6.82546,1
18,1992,0,7.674281,6.10809,10.16313,8.434808,-1,6.64379,1
18,1993,0,7.682999,6.090882,10.15895,8.437143,-1,6.751101,1
18,1994,0,7.691514,6.066675,10.1535,8.43823,-1,6.82546,1
18,1995,0,7.684283,6.01507,10.14651,8.435324,-1,7.001245,1
18,1996,0,7.684985,6.02843,10.16602,8.462973,-1,7.146772,1
19,1989,1,9.789473,7.392463,11.70289,8.360633,2.523067,2.564949,0
19,1990,1,9.770739,7.378204,11.68529,8.344933,2.4679,2.772589,0
19,1991,1,9.759597,7.378303,11.67365,8.337276,2.512829,2.944439,0
19,1992,1,9.754436,7.380122,11.66729,8.333293,2.54313,3.091043,0
19,1993,1,9.756406,7.396406,11.66697,8.339855,2.564111,3.178054,0
19,1994,1,9.75853,7.400996,11.66689,8.341975,2.655392,3.258096,0
19,1995,1,9.769,7.415918,11.66972,8.348475,2.72266,3.367296,0
19,1996,0,9.788511,7.452248,11.69102,8.387023,2.772322,3.465736,0
19,1997,1,9.804824,7.553892,11.70818,8.459356,2.809184,3.433987,0
19,1998,1,9.834554,7.686712,11.73877,8.553837,2.836127,3.401197,0
19,1999,0,9.861184,7.751294,11.77234,8.619181,2.856415,3.465736,0
20,1981,1,9.828317,7.093571,11.17652,8.365812,-1,8.571492,1
20,1982,1,9.863736,7.111808,11.21092,8.385455,-1,8.639234,1
20,1983,1,9.896727,7.118999,11.24489,8.394708,-1,9.374752,1
20,1984,0,9.929267,7.12989,11.27818,8.410069,-1,9.438591,1
20,1985,0,9.978347,7.139332,11.33708,8.429516,-1,9.600692,1
20,1986,0,10.02744,7.155074,11.39368,8.453008,-1,9.692581,1
20,1987,0,10.08223,7.180826,11.45604,8.490668,-1,9.744726,1
20,1988,0,10.12816,7.19851,11.50931,8.51699,-1,9.735601,1
20,1989,1,10.17675,7.208905,11.56433,8.539258,-1,9.791942,1
20,1990,0,10.2271,7.22458,11.62079,8.56893,-1,9.658482,1
20,1991,1,10.27148,7.250731,11.66871,8.600745,-1,9.807197,1
20,1992,0,10.30985,7.270287,11.71164,8.623878,-1,9.838949,1
20,1993,1,10.34507,7.2835,11.75045,8.640251,-1,9.829948,1
20,1994,0,10.37252,7.289126,11.78058,8.647885,-1,9.820214,1
20,1995,1,10.39784,7.291575,11.80623,8.648415,-1,9.819671,1
20,1996,1,10.44295,7.293865,11.85523,8.660825,-1,9.849823,1
20,1997,1,10.47901,7.304979,11.88928,8.674409,-1,9.848926,1
20,1998,0,10.52497,7.315689,11.93661,8.686473,-1,9.905386,1
20,1999,0,10.56754,7.322981,11.98662,8.695249,-1,9.958023,1
20,2000,0,10.59619,7.342603,12.01933,8.71163,-1,9.840601,1
20,2001,0,10.61647,7.366964,12.04582,8.730701,-1,9.903188,1
21,1981,0,8.719808,7.761234,10.65694,8.415803,3.557104,4.744932,0
21,1982,0,8.747229,7.824837,10.68842,8.46258,3.544222,5.117994,0
21,1983,1,8.766565,7.866513,10.71347,8.49274,3.479379,4.744932,0
21,1984,1,8.783288,7.879889,10.73658,8.504229,3.416986,4.682131,0
21,1985,1,8.814513,7.893604,10.77637,8.518123,3.357089,4.795791,0
21,1986,0,8.843968,7.896326,10.81491,8.52354,3.482524,4.905275,0
21,1987,1,8.882908,7.874352,10.86024,8.516074,3.644996,5.129899,0
21,1988,0,8.917421,7.839629,10.90005,8.499627,3.727223,5.036952,0
21,1989,1,8.957126,7.821084,10.94356,8.495606,3.727196,4.49981,0
21,1990,1,8.999242,7.828373,10.98918,8.509946,3.721649,4.394449,0
21,1991,1,9.03677,7.836653,11.03017,8.52667,3.711426,4.26268,0
21,1992,1,9.071951,7.851442,11.06697,8.5432,3.64077,4.189655,0
21,1993,1,9.106256,7.879585,11.10189,8.569497,3.604361,4.394449,0
21,1994,1,9.134933,7.899827,11.13076,8.59027,3.569464,4.61512,0
21,1995,1,9.165066,7.915174,11.15824,8.606043,3.566172,4.85203,0
